,sample,cox1,cox3,dioxygenase,dsr,katG,nap,narG,nir,nod,nos,nrd,pmoA,ribo_reductase,sod,Cyt_bd_oxid,O2,depth,Latitude,Longitude,Lyapunov,NO2,NO3,NO2NO3,PO4,size_fraction,Temperature,Carbon.total,CO3,HCO3,Density,Alkalinity.total,Nitracline,Brunt.Väisälä,Iron.5m,Residence.time,Okubo.Weiss,study,mcrA,nor,aerobic_score,anaerobic_score
67,TARA_B110000969,681.7724352075,536.995764155,0.0,19.88561158,216.116576672,0.170540714,0.0,0.0,0.044196784,0.0,0.0,0.0,779.299048003,271.058566574,1.3940996149999998,368.662625,5.0,73.3833,-168.1333,0.0,0.126,0.0,0.2285,0.361653,3.0,-0.585333,0.0658,0.0037,0.0,22.016175,0.0032,61.0,4.0,0.000713809,0.0,,1,,,2214.1838240375,20.056152294
68,TARA_B110001467,328.6696147835,274.273013407,0.0,2.837939002,36.9671588135,0.6003496275,0.0,0.14111714,0.038244022,0.090390032,0.0,0.016353553,338.003966641,117.384843352,0.045008272,363.000813,5.0,76.1825,1.3918,0.058176,0.101,4.980653,2.7725,0.290483,3.0,1.899612,,,,27.890469,,996.0,25.0,0.000874157,3.277778,-0.007624,1,,,977.913753645,3.6697958015000003
69,MFL103_1,9.289418516069125,0.0,0.3380450569693454,1.3231297200236116,0.3372719564791787,2.5892666443535077,0.0,0.0,0.0,0.0,0.0,0.0,11.724083134557237,16.00122753770882,0.0,123.0,103.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.0,21.350773607105538,3.9123963643771194
70,MFL103_2,3.908000988661759,0.3437444988481878,0.465799621744964,1.037779941806842,0.1829940896718281,1.641091360140814,0.0,0.2444379666404765,0.0,0.0,0.0,0.0,10.325496107930524,8.698527405123386,0.0,123.0,103.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.0,14.760235685112299,2.923309268588133
71,MFL198_1,46.87468449869303,0.5467408828550802,0.7001533158939619,11.721719361132706,0.7817903012500026,5.996878227417272,0.0,0.215619433047827,0.0,0.0,0.0,0.9689218468339024,9.626807509567303,27.767167738529267,0.0,37.9,198.0,10.6167,-65.1667,,,11.0,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.0,57.83002319236542,17.934217021597807
72,MFL198_2,47.14993644474649,0.1857658912253492,0.0,12.430676096119964,0.8994459905661015,5.612105760476237,0.0,0.0,0.0,0.2947904879717276,0.0,6.803675766128415,9.017124865188348,30.876094979296283,0.0,37.9,198.0,10.6167,-65.1667,,,11.0,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.0,57.25227319172629,18.337572344567928
73,MFL234_1,15.172237373601126,0.924411163462238,0.0,66.1542779170956,0.1718975907985648,3.978810039987513,0.0,2.761504613713209,0.5658141001663344,3.864250596624719,0.0,50.96832880722124,0.7839679072957383,23.27644688509188,0.5682928916098993,12.0,234.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.5658141001663344,17.052514035157667,76.75884316742103
74,MFL234_2,44.138580190779535,1.246081247671862,0.0,159.8968176973549,0.6836944331562542,8.399584199567267,0.1935959229027859,2.6311051291770005,0.2616451431390404,1.1861132631205196,0.0,24.423730095438653,2.563455931240347,22.71207220050127,0.2298704008982462,12.0,234.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.2616451431390404,48.631811802848,172.11362028921968
75,MFL295_1,38.83720328657026,1.7260553880162195,0.8385246657880213,222.7358388638767,4.611698440325099,15.179713366949771,0.7189733741923611,8.439988693196746,0.8743502876582389,2.4685585634421257,0.0,33.114962002935,2.78133882119139,23.74396861550525,0.2285124955265277,0.0,295.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.4274121406608488,47.95629593610297,248.82409948746533
76,MFL295_2,28.91799126294135,3.6911417988953383,0.4643582283700868,156.43877158179626,1.5023222035279944,8.889467342094463,0.4851738225819711,5.025139826280082,0.4783689942585177,2.1704341336958985,0.0,17.794932171409222,1.9313182203167487,14.821991603169153,0.0,0.0,295.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,0.1296819964005667,36.04277348568143,172.5238128838667
77,MFL314_1,204.1911571789345,24.62105162718474,0.0,1108.3460709051428,0.8388888143426829,79.12718356141424,4.01775447620333,55.74016657877856,2.2828208086815467,36.389515702125045,0.0365038273652004,49.51258445676925,2.4047042446494085,28.092597494713512,0.5645683463382308,0.0,314.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,1.515181677142358,232.05580186511133,1279.6394405748258
78,MFL314_2,195.2513812182293,19.66322367250027,0.2368353789573902,951.0528138672933,0.8967154336794334,181.42060309248987,8.70502526397622,136.76092889334862,3.899825846590494,53.37447145434072,0.2543238487427294,60.76697483570862,2.3743971837392253,13.6327275754227,0.3128633643501783,0.0,314.0,10.6167,-65.1667,,,,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.0,2.200197995369392,218.18571750814826,1322.8631411562153
79,MFL900_1,3.92890405674264,0.1793952041245888,0.0,75.53610964861856,1.952891008256742,69.94394587499632,0.0,0.0951288330128553,0.0,0.2020383900814243,0.2617669434139257,0.0,1.791207838110101,24.01670546197742,0.8752456572542047,0.0,900.0,10.6167,-65.1667,,,0.0,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,1.908179394156528,0.0,7.852398107234072,146.0389896901231
80,MFL900_2,4.3029691172853655,0.8527581654561921,0.0,88.80101343741374,3.0977349484182453,84.08951821994616,0.0,0.2762453337293097,0.1834891749158108,0.4934443187798821,0.4233823784953412,0.0,1.8183832461050575,25.02800576618137,2.0321390024034782,0.0,900.0,10.6167,-65.1667,,,0.0,,,free-living (0.2-2.7 um),,,,,,,,,,,,0,0.1406955586183314,0.1834891749158108,10.07184547726486,174.08360368836446
81,MPA103_1,4.735268362347961,0.0,1.3307448174852403,2.1278071731866066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.453340582328938,10.189609072895507,0.0,123.0,103.0,10.6167,-65.1667,,,,,,particle-associated (>2.7 um),,,,,,,,,,,,0,0.0,0.0,21.1886089446769,2.1278071731866066
